# version=2022
# observatory
! mpcCode 807
! name Cerro Tololo Inter-American Observatory
# submitter
! name R. Holmes
# telescope
! aperture 0.61
! design Ritchey-Chretien
! detector CCD
# observers
! name T. Linder
! name R. Holmes
# measurers
! name T. Linder
! name R. Holmes
permID         |mode|stn |obsTime                 |ra         |dec        |rmsRA  |rmsDec |astCat  |mag    |band
47097          |CCD |807 |2024-03-23T00:03:45.50Z |100.7230830|+33.9538610|0.4    |0.4    |Gaia2   |19.5   |G   
47097          |CCD |807 |2024-03-23T00:09:00.0Z  |100.7570420|+33.9472780|0.29   |0.29   |Gaia2   |19.3   |G   
47097          |CCD |807 |2024-03-23T00:14:14.50Z |100.7909170|+33.9400560|0.5    |0.5    |Gaia2   |19.3   |G   
47097          |CCD |807 |2024-03-23T00:18:11.23Z |100.8167500|+33.9348610|0.35   |0.35   |Gaia2   |18.9   |G   
