# version=2022
# observatory
! mpcCode 807
! name Cerro Tololo Inter-American Observatory
# submitter
! name R. Holmes
# telescope
! aperture 0.61
! design Ritchey-Chretien
! detector CCD
# observers
! name T. Linder
! name R. Holmes
# measurers
! name T. Linder
! name R. Holmes
permID         |mode|stn |obsTime                 |ra         |dec        |rmsRA  |rmsDec |astCat  |mag    |band
387733         |CCD |807 |2024-02-29T00:23:27.46Z |47.0780000|-1.9173890|0.24   |0.24   |Gaia2   |20.0   |G   
387733         |CCD |807 |2024-02-29T00:27:22.46Z |47.0815000|-1.9161670|0.39   |0.39   |Gaia2   |20.4   |G   
387733         |CCD |807 |2024-02-29T00:31:22.66Z |47.0851670|-1.9150560|0.27   |0.27   |Gaia2   |20.1   |G   
387733         |CCD |807 |2024-02-29T00:35:23.71Z |47.0886670|-1.9139720|0.28   |0.28   |Gaia2   |20.1   |G   
