# version=2022
# observatory
! mpcCode 807
! name Cerro Tololo Inter-American Observatory
# submitter
! name R. Holmes
# telescope
! aperture 0.61
! design Ritchey-Chretien
! detector CCD
# observers
! name T. Linder
! name R. Holmes
# measurers
! name T. Linder
! name R. Holmes
permID         |mode|stn |obsTime                 |ra         |dec        |rmsRA  |rmsDec |astCat  |mag    |band
620063         |CCD |807 |2024-02-20T00:54:12.10Z |85.1601250|-33.8393610|0.38   |0.38   |Gaia2   |21.0   |G   
620063         |CCD |807 |2024-02-20T01:06:53.28Z |85.1570000|-33.8316110|0.32   |0.32   |Gaia2   |20.4   |G   
