# version=2022
# observatory
! mpcCode 807
! name Cerro Tololo Inter-American Observatory
# submitter
! name R. Holmes
# telescope
! aperture 0.61
! design Ritchey-Chretien
! detector CCD
# observers
! name T. Linder
! name R. Holmes
# measurers
! name T. Linder
! name R. Holmes
provID         |trkSub  |mode|stn |obsTime                 |ra         |dec        |rmsRA  |rmsDec |astCat  |mag    |band
2024 ER        |K24E00R |CCD |807 |2024-03-14T00:12:06.62Z |112.9456250|-51.3290830|0.07   |0.07   |Gaia2   |18.5   |G   
2024 ER        |K24E00R |CCD |807 |2024-03-14T00:15:19.30Z |112.9520830|-51.3317780|0.05   |0.05   |Gaia2   |18.6   |G   
2024 ER        |K24E00R |CCD |807 |2024-03-14T00:18:44.6Z  |112.9589580|-51.3347780|0.05   |0.05   |Gaia2   |18.6   |G   
