# version=2022
# observatory
! mpcCode 807
! name Cerro Tololo Inter-American Observatory
# submitter
! name T. Linder
# telescope
! aperture 0.61
! design Ritchey-Chretien
! detector CCD
# observers
! name T. Linder
# measurers
! name T. Linder
permID         |mode|stn |obsTime                 |ra         |dec        |rmsRA  |rmsDec |astCat  |mag    |band
47097          |CCD |807 |2024-04-01T04:51:31.68Z |267.5215830|-31.7951670|0.28   |0.28   |Gaia2   |18.4   |G   
47097          |CCD |807 |2024-04-01T04:54:10.66Z |267.5528750|-31.7966940|0.36   |0.36   |Gaia2   |18.6   |G   
47097          |CCD |807 |2024-04-01T04:56:49.63Z |267.5840830|-31.7982780|0.37   |0.37   |Gaia2   |18.1   |G   
47097          |CCD |807 |2024-04-01T04:59:27.74Z |267.6149580|-31.7996670|0.28   |0.28   |Gaia2   |18.3   |G   
47097          |CCD |807 |2024-04-01T05:02:05.86Z |267.6460830|-31.8011940|0.55   |0.55   |Gaia2   |18.3   |G   
47097          |CCD |807 |2024-04-01T05:04:43.97Z |267.6767920|-31.8025000|0.35   |0.35   |Gaia2   |18.2   |G   
47097          |CCD |807 |2024-04-01T05:07:22.94Z |267.7074170|-31.8040560|0.44   |0.44   |Gaia2   |17.6   |G   
47097          |CCD |807 |2024-04-01T05:12:39.17Z |267.7684580|-31.8063890|0.29   |0.29   |Gaia2   |18.9   |G   
