# version=2022
# observatory
! mpcCode 807
! name Cerro Tololo Inter-American Observatory
# submitter
! name R. Holmes
# telescope
! aperture 0.61
! design Ritchey-Chretien
! detector CCD
# observers
! name T. Linder
! name R. Holmes
# measurers
! name T. Linder
! name R. Holmes
provID         |trkSub  |mode|stn |obsTime                 |ra         |dec        |rmsRA  |rmsDec |astCat  |mag    |band
2011 UF21      |K11U21F |CCD |807 |2024-03-01T00:42:11.52Z |121.7250000|-18.4410830|0.19   |0.19   |Gaia2   |20.2   |G   
2011 UF21      |K11U21F |CCD |807 |2024-03-01T00:46:49.73Z |121.7236670|-18.4395560|0.17   |0.17   |Gaia2   |20.2   |G   
2011 UF21      |K11U21F |CCD |807 |2024-03-01T00:51:34.85Z |121.7225420|-18.4382220|0.32   |0.32   |Gaia2   |20.1   |G   
